Vardas               Pavarde              PAZ1     PAZ2     PAZ3     Egz.
Vardas634            Pavarde634            1        9        2        2     
Vardas635            Pavarde635            8        4        2        9     
Vardas636            Pavarde636            3        1        8        3     
Vardas637            Pavarde637            10       5        1        6     
Vardas638            Pavarde638            5        1        8        9     
Vardas639            Pavarde639            3        9        10       7     
Vardas640            Pavarde640            3        5        3        8     
Vardas641            Pavarde641            2        10       8        4     
Vardas642            Pavarde642            9        5        2        10    
Vardas643            Pavarde643            9        7        1        9     
Vardas644            Pavarde644            5        2        4        9     
Vardas645            Pavarde645            6        4        6        4     
Vardas646            Pavarde646            9        2        9        4     
Vardas647            Pavarde647            7        10       5        3     
Vardas648            Pavarde648            5        5        6        5     
Vardas649            Pavarde649            7        7        1        10    
Vardas650            Pavarde650            4        4        4        3     
Vardas651            Pavarde651            1        1        3        6     
Vardas652            Pavarde652            5        10       8        2     
Vardas653            Pavarde653            1        1        8        3     
Vardas654            Pavarde654            10       3        3        9     
Vardas655            Pavarde655            10       1        2        10    
Vardas656            Pavarde656            2        6        3        1     
Vardas657            Pavarde657            4        2        4        6     
Vardas658            Pavarde658            4        7        10       3     
Vardas659            Pavarde659            3        2        2        9     
Vardas660            Pavarde660            3        3        8        9     
Vardas661            Pavarde661            8        3        9        5     
Vardas662            Pavarde662            6        5        6        7     
Vardas663            Pavarde663            3        8        7        10    
Vardas664            Pavarde664            1        5        2        6     
Vardas665            Pavarde665            8        6        10       4     
Vardas666            Pavarde666            1        10       7        10    
Vardas667            Pavarde667            1        2        6        2     
Vardas668            Pavarde668            3        1        4        4     
Vardas669            Pavarde669            4        6        8        4     
Vardas670            Pavarde670            2        8        8        10    
Vardas671            Pavarde671            7        10       10       8     
Vardas672            Pavarde672            4        7        6        4     
Vardas673            Pavarde673            5        1        7        5     
Vardas674            Pavarde674            9        9        10       4     
Vardas675            Pavarde675            3        3        10       8     
Vardas676            Pavarde676            7        8        2        4     
Vardas677            Pavarde677            4        10       1        9     
Vardas678            Pavarde678            1        4        9        9     
Vardas679            Pavarde679            1        10       10       7     
Vardas680            Pavarde680            7        4        4        3     
Vardas681            Pavarde681            9        5        8        5     
Vardas682            Pavarde682            7        1        2        7     
Vardas683            Pavarde683            6        9        1        1     
Vardas684            Pavarde684            1        3        10       8     
Vardas685            Pavarde685            1        4        9        3     
Vardas686            Pavarde686            5        1        9        2     
Vardas687            Pavarde687            9        1        7        3     
Vardas688            Pavarde688            4        6        5        7     
Vardas689            Pavarde689            9        10       9        6     
Vardas690            Pavarde690            10       10       7        8     
Vardas691            Pavarde691            1        2        8        3     
Vardas692            Pavarde692            3        9        2        6     
Vardas693            Pavarde693            1        10       9        8     
Vardas694            Pavarde694            9        9        5        9     
Vardas695            Pavarde695            7        7        4        9     
Vardas696            Pavarde696            8        2        4        5     
Vardas697            Pavarde697            7        9        9        3     
Vardas698            Pavarde698            8        5        8        9     
Vardas699            Pavarde699            5        10       5        9     
Vardas700            Pavarde700            8        1        10       6     
Vardas701            Pavarde701            6        10       10       8     
Vardas702            Pavarde702            2        4        9        9     
Vardas703            Pavarde703            3        9        4        10    
Vardas704            Pavarde704            8        2        5        4     
Vardas705            Pavarde705            8        10       2        10    
Vardas706            Pavarde706            1        10       3        4     
Vardas707            Pavarde707            5        3        6        4     
Vardas708            Pavarde708            6        3        4        2     
Vardas709            Pavarde709            9        3        5        7     
Vardas710            Pavarde710            3        7        6        2     
Vardas711            Pavarde711            7        6        4        5     
Vardas712            Pavarde712            1        4        4        9     
Vardas713            Pavarde713            6        3        2        5     
Vardas714            Pavarde714            1        7        1        3     
Vardas715            Pavarde715            7        3        3        4     
Vardas716            Pavarde716            10       5        4        8     
Vardas717            Pavarde717            8        2        6        6     
Vardas718            Pavarde718            9        8        2        6     
Vardas719            Pavarde719            2        8        6        1     
Vardas720            Pavarde720            1        10       4        5     
Vardas721            Pavarde721            9        2        9        7     
Vardas722            Pavarde722            4        6        2        6     
Vardas723            Pavarde723            1        1        8        5     
Vardas724            Pavarde724            4        3        3        6     
Vardas725            Pavarde725            4        7        5        1     
Vardas726            Pavarde726            8        3        7        3     
Vardas727            Pavarde727            3        4        1        5     
Vardas728            Pavarde728            5        8        10       6     
Vardas729            Pavarde729            10       9        3        3     
Vardas730            Pavarde730            10       10       6        4     
Vardas731            Pavarde731            7        1        9        2     
Vardas732            Pavarde732            8        6        10       6     
Vardas733            Pavarde733            10       8        1        1     
Vardas734            Pavarde734            3        1        2        1     
Vardas735            Pavarde735            3        5        5        8     
Vardas736            Pavarde736            3        9        5        4     
Vardas737            Pavarde737            10       1        7        2     
Vardas738            Pavarde738            1        9        1        10    
Vardas739            Pavarde739            2        9        1        4     
Vardas740            Pavarde740            2        4        1        5     
Vardas741            Pavarde741            1        10       2        3     
Vardas742            Pavarde742            1        5        8        2     
Vardas743            Pavarde743            9        10       4        8     
Vardas744            Pavarde744            4        1        5        2     
Vardas745            Pavarde745            6        9        6        3     
Vardas746            Pavarde746            2        1        9        8     
Vardas747            Pavarde747            1        8        7        7     
Vardas748            Pavarde748            10       4        5        1     
Vardas749            Pavarde749            7        9        2        1     
Vardas750            Pavarde750            1        6        5        2     
Vardas751            Pavarde751            7        6        1        2     
Vardas752            Pavarde752            8        4        5        1     
Vardas753            Pavarde753            5        3        2        3     
Vardas754            Pavarde754            6        5        5        1     
Vardas755            Pavarde755            1        1        8        6     
Vardas756            Pavarde756            9        10       2        1     
Vardas757            Pavarde757            7        8        9        10    
Vardas758            Pavarde758            5        4        2        5     
Vardas759            Pavarde759            3        2        6        10    
Vardas760            Pavarde760            2        10       7        8     
Vardas761            Pavarde761            6        2        4        4     
Vardas762            Pavarde762            3        1        5        2     
Vardas763            Pavarde763            10       4        8        6     
Vardas764            Pavarde764            6        4        5        8     
Vardas765            Pavarde765            4        2        10       9     
Vardas766            Pavarde766            10       3        4        1     
Vardas767            Pavarde767            2        6        1        1     
Vardas768            Pavarde768            7        10       9        4     
Vardas769            Pavarde769            2        10       3        1     
Vardas770            Pavarde770            1        4        6        10    
Vardas771            Pavarde771            4        7        10       9     
Vardas772            Pavarde772            5        2        9        1     
Vardas773            Pavarde773            10       5        3        9     
Vardas774            Pavarde774            9        3        8        8     
Vardas775            Pavarde775            4        1        6        5     
Vardas776            Pavarde776            4        10       4        7     
Vardas777            Pavarde777            4        3        2        9     
Vardas778            Pavarde778            7        9        8        6     
Vardas779            Pavarde779            9        9        4        8     
Vardas780            Pavarde780            2        8        4        3     
Vardas781            Pavarde781            8        5        1        9     
Vardas782            Pavarde782            3        9        10       10    
Vardas783            Pavarde783            9        3        7        3     
Vardas784            Pavarde784            3        5        9        7     
Vardas785            Pavarde785            7        3        1        6     
Vardas786            Pavarde786            9        10       5        9     
Vardas787            Pavarde787            3        4        5        10    
Vardas788            Pavarde788            4        6        6        1     
Vardas789            Pavarde789            4        5        5        6     
Vardas790            Pavarde790            5        8        6        8     
Vardas791            Pavarde791            6        8        6        1     
Vardas792            Pavarde792            2        1        5        8     
Vardas793            Pavarde793            5        7        3        3     
Vardas794            Pavarde794            2        2        2        1     
Vardas795            Pavarde795            1        5        10       1     
Vardas796            Pavarde796            3        2        5        9     
Vardas797            Pavarde797            5        3        6        2     
Vardas798            Pavarde798            5        6        2        6     
Vardas799            Pavarde799            1        3        1        9     
Vardas800            Pavarde800            8        6        3        3     
Vardas801            Pavarde801            8        3        2        8     
Vardas802            Pavarde802            9        6        1        6     
Vardas803            Pavarde803            6        4        10       4     
Vardas804            Pavarde804            5        10       7        8     
Vardas805            Pavarde805            8        2        2        7     
Vardas806            Pavarde806            1        6        7        1     
Vardas807            Pavarde807            8        1        2        2     
Vardas808            Pavarde808            9        4        4        3     
Vardas809            Pavarde809            5        6        10       4     
Vardas810            Pavarde810            7        1        4        1     
Vardas811            Pavarde811            1        2        4        8     
Vardas812            Pavarde812            10       4        10       2     
Vardas813            Pavarde813            2        7        10       1     
Vardas814            Pavarde814            3        8        7        10    
Vardas815            Pavarde815            5        8        7        8     
Vardas816            Pavarde816            6        5        2        7     
Vardas817            Pavarde817            10       5        6        1     
Vardas818            Pavarde818            10       5        7        2     
Vardas819            Pavarde819            8        10       2        4     
Vardas820            Pavarde820            6        3        2        8     
Vardas821            Pavarde821            9        1        3        8     
Vardas822            Pavarde822            4        8        8        6     
Vardas823            Pavarde823            8        2        7        7     
Vardas824            Pavarde824            3        10       2        7     
Vardas825            Pavarde825            3        6        7        5     
Vardas826            Pavarde826            6        5        3        9     
Vardas827            Pavarde827            2        5        7        6     
Vardas828            Pavarde828            5        7        3        1     
Vardas829            Pavarde829            5        7        5        9     
Vardas830            Pavarde830            4        3        3        8     
Vardas831            Pavarde831            5        7        3        6     
Vardas832            Pavarde832            3        1        3        10    
Vardas833            Pavarde833            9        1        5        1     
Vardas834            Pavarde834            3        6        8        5     
Vardas835            Pavarde835            7        8        7        10    
Vardas836            Pavarde836            6        3        10       1     
Vardas837            Pavarde837            2        2        3        3     
Vardas838            Pavarde838            5        9        3        6     
Vardas839            Pavarde839            8        7        1        7     
Vardas840            Pavarde840            2        5        5        3     
Vardas841            Pavarde841            7        4        9        4     
Vardas842            Pavarde842            1        10       8        5     
Vardas843            Pavarde843            1        5        3        9     
Vardas844            Pavarde844            4        4        1        1     
Vardas845            Pavarde845            1        5        7        3     
Vardas846            Pavarde846            5        6        6        1     
Vardas847            Pavarde847            7        8        2        8     
Vardas848            Pavarde848            7        3        2        3     
Vardas849            Pavarde849            2        3        8        6     
Vardas850            Pavarde850            5        4        6        8     
Vardas851            Pavarde851            6        6        5        6     
Vardas852            Pavarde852            9        8        2        7     
Vardas853            Pavarde853            2        5        5        10    
Vardas854            Pavarde854            10       4        2        2     
Vardas855            Pavarde855            3        8        5        1     
Vardas856            Pavarde856            4        1        8        6     
Vardas857            Pavarde857            2        1        5        10    
Vardas858            Pavarde858            4        6        7        1     
Vardas859            Pavarde859            10       4        7        3     
Vardas860            Pavarde860            8        1        4        5     
Vardas861            Pavarde861            10       3        3        8     
Vardas862            Pavarde862            4        6        7        1     
Vardas863            Pavarde863            1        9        6        5     
Vardas864            Pavarde864            9        9        9        10    
Vardas865            Pavarde865            9        1        3        10    
Vardas866            Pavarde866            9        6        7        6     
Vardas867            Pavarde867            8        1        5        8     
Vardas868            Pavarde868            2        4        4        10    
Vardas869            Pavarde869            6        5        7        10    
Vardas870            Pavarde870            6        1        9        2     
Vardas871            Pavarde871            5        3        5        6     
Vardas872            Pavarde872            2        8        2        5     
Vardas873            Pavarde873            8        4        5        9     
Vardas874            Pavarde874            1        10       7        1     
Vardas875            Pavarde875            1        2        3        8     
Vardas876            Pavarde876            6        10       5        4     
Vardas877            Pavarde877            3        5        9        1     
Vardas878            Pavarde878            4        2        6        9     
Vardas879            Pavarde879            8        2        10       9     
Vardas880            Pavarde880            2        6        8        4     
Vardas881            Pavarde881            2        9        7        4     
Vardas882            Pavarde882            10       6        1        7     
Vardas883            Pavarde883            6        9        1        8     
Vardas884            Pavarde884            1        8        4        6     
Vardas885            Pavarde885            2        7        1        5     
Vardas886            Pavarde886            8        7        7        7     
Vardas887            Pavarde887            4        4        7        9     
Vardas888            Pavarde888            7        4        10       5     
Vardas889            Pavarde889            9        4        2        8     
Vardas890            Pavarde890            6        8        4        8     
Vardas891            Pavarde891            5        4        5        10    
Vardas892            Pavarde892            6        7        10       1     
Vardas893            Pavarde893            6        9        3        2     
Vardas894            Pavarde894            8        10       5        10    
Vardas895            Pavarde895            2        6        3        8     
Vardas896            Pavarde896            10       4        3        1     
Vardas897            Pavarde897            5        2        9        7     
Vardas898            Pavarde898            3        6        8        5     
Vardas899            Pavarde899            5        10       2        5     
Vardas900            Pavarde900            5        7        7        1     
Vardas901            Pavarde901            7        6        4        2     
Vardas902            Pavarde902            6        4        7        5     
Vardas903            Pavarde903            4        2        8        10    
Vardas904            Pavarde904            7        7        9        6     
Vardas905            Pavarde905            10       8        8        9     
Vardas906            Pavarde906            1        7        2        2     
Vardas907            Pavarde907            8        10       4        8     
Vardas908            Pavarde908            7        7        6        1     
Vardas909            Pavarde909            3        2        2        5     
Vardas910            Pavarde910            10       3        10       8     
Vardas911            Pavarde911            4        9        6        6     
Vardas912            Pavarde912            9        3        5        4     
Vardas913            Pavarde913            2        2        6        1     
Vardas914            Pavarde914            7        8        8        7     
Vardas915            Pavarde915            8        4        3        2     
Vardas916            Pavarde916            1        1        8        5     
Vardas917            Pavarde917            6        2        3        7     
Vardas918            Pavarde918            5        3        8        6     
Vardas919            Pavarde919            9        5        4        5     
Vardas920            Pavarde920            10       1        1        4     
Vardas921            Pavarde921            6        2        1        1     
Vardas922            Pavarde922            10       5        5        3     
Vardas923            Pavarde923            7        3        7        10    
Vardas924            Pavarde924            10       9        5        1     
Vardas925            Pavarde925            3        5        5        3     
Vardas926            Pavarde926            2        3        10       8     
Vardas927            Pavarde927            7        9        7        7     
Vardas928            Pavarde928            7        7        10       1     
Vardas929            Pavarde929            5        4        3        5     
Vardas930            Pavarde930            2        2        1        5     
Vardas931            Pavarde931            3        10       8        7     
Vardas932            Pavarde932            10       7        4        4     
Vardas933            Pavarde933            9        6        8        3     
Vardas934            Pavarde934            4        10       10       10    
Vardas935            Pavarde935            7        3        7        4     
Vardas936            Pavarde936            6        10       4        8     
Vardas937            Pavarde937            4        4        10       10    
Vardas938            Pavarde938            4        9        8        8     
Vardas939            Pavarde939            4        9        8        9     
Vardas940            Pavarde940            9        5        10       1     
Vardas941            Pavarde941            10       4        1        8     
Vardas942            Pavarde942            4        8        2        7     
Vardas943            Pavarde943            5        6        10       9     
Vardas944            Pavarde944            9        7        7        7     
Vardas945            Pavarde945            2        8        7        2     
Vardas946            Pavarde946            10       5        10       9     
Vardas947            Pavarde947            8        1        9        1     
Vardas948            Pavarde948            8        3        10       8     
Vardas949            Pavarde949            4        7        8        8     
Vardas950            Pavarde950            10       5        9        7     
Vardas951            Pavarde951            10       7        6        8     
Vardas952            Pavarde952            7        10       9        1     
Vardas953            Pavarde953            1        3        5        4     
Vardas954            Pavarde954            2        6        1        2     
Vardas955            Pavarde955            1        10       1        5     
Vardas956            Pavarde956            10       7        1        7     
Vardas957            Pavarde957            3        2        4        3     
Vardas958            Pavarde958            2        1        3        8     
Vardas959            Pavarde959            10       7        8        8     
Vardas960            Pavarde960            6        9        5        7     
Vardas961            Pavarde961            3        6        10       5     
Vardas962            Pavarde962            8        4        3        6     
Vardas963            Pavarde963            8        3        3        3     
Vardas964            Pavarde964            1        9        1        8     
Vardas965            Pavarde965            10       8        5        8     
Vardas966            Pavarde966            10       1        7        9     
Vardas967            Pavarde967            1        10       6        4     
Vardas968            Pavarde968            2        2        1        6     
Vardas969            Pavarde969            10       7        3        7     
Vardas970            Pavarde970            2        2        3        6     
Vardas971            Pavarde971            7        8        1        1     
Vardas972            Pavarde972            5        4        10       8     
Vardas973            Pavarde973            5        6        7        8     
Vardas974            Pavarde974            3        1        9        5     
Vardas975            Pavarde975            5        1        10       8     
Vardas976            Pavarde976            6        4        10       9     
Vardas977            Pavarde977            5        4        10       2     
Vardas978            Pavarde978            5        2        1        7     
Vardas979            Pavarde979            10       8        3        3     
Vardas980            Pavarde980            4        2        4        2     
Vardas981            Pavarde981            6        8        6        8     
Vardas982            Pavarde982            9        5        1        8     
Vardas983            Pavarde983            8        3        7        8     
Vardas984            Pavarde984            6        1        3        8     
Vardas985            Pavarde985            7        6        5        9     
Vardas986            Pavarde986            3        6        5        2     
Vardas987            Pavarde987            10       2        10       1     
Vardas988            Pavarde988            9        8        1        2     
Vardas989            Pavarde989            3        7        9        9     
Vardas990            Pavarde990            8        4        6        7     
Vardas991            Pavarde991            1        3        9        8     
Vardas992            Pavarde992            3        6        1        3     
Vardas993            Pavarde993            2        1        5        6     
Vardas994            Pavarde994            9        6        4        8     
Vardas995            Pavarde995            6        6        3        1     
Vardas996            Pavarde996            3        1        5        8     
Vardas997            Pavarde997            4        7        6        3     
Vardas998            Pavarde998            8        6        8        8     
Vardas999            Pavarde999            10       4        7        6     
Vardas1000           Pavarde1000           9        9        2        3     
